start_lat,start_lon,end_lat,end_lon,time_slot,hour,weekday,graphhopper_seconds,google_maps_seconds,distance_meters
24.751148102194282,120.99486496374242,24.81817103690266,120.97832732973679,周一早峰,8,0,968.023,1672.0,11794.798
24.751148102194282,120.99486496374242,24.81817103690266,120.97832732973679,周一晚峰,18,0,968.023,1523.0,11794.798
24.751148102194282,120.99486496374242,24.81817103690266,120.97832732973679,周一下午,14,0,968.023,1374.0,11794.798
24.751148102194282,120.99486496374242,24.81817103690266,120.97832732973679,周六,10,5,968.023,1332.0,11794.798
24.776682518995255,120.98768656187218,24.761155217359587,120.96912887256022,周一早峰,8,0,588.722,702.0,5426.317
24.776682518995255,120.98768656187218,24.761155217359587,120.96912887256022,周一晚峰,18,0,588.722,739.0,5426.317
24.776682518995255,120.98768656187218,24.761155217359587,120.96912887256022,周一下午,14,0,588.722,624.0,5426.317
24.776682518995255,120.98768656187218,24.761155217359587,120.96912887256022,周六,10,5,588.722,649.0,5426.317
24.795372370632922,121.01584343347689,24.837585294037822,120.9537050145676,周一早峰,8,0,872.368,1263.0,9378.092
24.795372370632922,121.01584343347689,24.837585294037822,120.9537050145676,周一晚峰,18,0,872.368,1234.0,9378.092
24.795372370632922,121.01584343347689,24.837585294037822,120.9537050145676,周一下午,14,0,872.368,1100.0,9378.092
24.795372370632922,121.01584343347689,24.837585294037822,120.9537050145676,周六,10,5,872.368,1159.0,9378.092
24.80005861130503,120.94607866924771,24.841262783934482,121.00834667128531,周一早峰,8,0,605.223,1554.0,8697.514
24.80005861130503,120.94607866924771,24.841262783934482,121.00834667128531,周一晚峰,18,0,605.223,1475.0,8697.514
24.80005861130503,120.94607866924771,24.841262783934482,121.00834667128531,周一下午,14,0,605.223,1309.0,8697.514
24.80005861130503,120.94607866924771,24.841262783934482,121.00834667128531,周六,10,5,605.223,1369.0,8697.514
24.779844479144863,120.98750545453794,24.81089702114382,120.94375553416947,周一早峰,8,0,587.228,1254.0,7059.059
24.779844479144863,120.98750545453794,24.81089702114382,120.94375553416947,周一晚峰,18,0,587.228,1394.0,7059.059
24.779844479144863,120.98750545453794,24.81089702114382,120.94375553416947,周一下午,14,0,587.228,1220.0,7059.059
24.779844479144863,120.98750545453794,24.81089702114382,120.94375553416947,周六,10,5,587.228,1242.0,7059.059
24.750057189612793,120.95917404513042,24.751947674238583,121.0136188754638,周一早峰,8,0,491.769,857.0,8572.001
24.750057189612793,120.95917404513042,24.751947674238583,121.0136188754638,周一晚峰,18,0,491.769,657.0,8572.001
24.750057189612793,120.95917404513042,24.751947674238583,121.0136188754638,周一下午,14,0,491.769,617.0,8572.001
24.750057189612793,120.95917404513042,24.751947674238583,121.0136188754638,周六,10,5,491.769,592.0,8572.001
24.83787218778232,121.0048498976425,24.780751412540265,120.93521326498448,周一早峰,8,0,765.532,1712.0,11811.708
24.83787218778232,121.0048498976425,24.780751412540265,120.93521326498448,周一晚峰,18,0,765.532,1661.0,11811.708
24.83787218778232,121.0048498976425,24.780751412540265,120.93521326498448,周一下午,14,0,765.532,1544.0,11811.708
24.83787218778232,121.0048498976425,24.780751412540265,120.93521326498448,周六,10,5,765.532,1651.0,11811.708
24.837800959920404,121.01522545007681,24.758565345206787,120.9737391416985,周一早峰,8,0,769.745,1700.0,12371.133
24.837800959920404,121.01522545007681,24.758565345206787,120.9737391416985,周一晚峰,18,0,769.745,1511.0,12371.133
24.837800959920404,121.01522545007681,24.758565345206787,120.9737391416985,周一下午,14,0,769.745,1281.0,12371.133
24.837800959920404,121.01522545007681,24.758565345206787,120.9737391416985,周六,10,5,769.745,1576.0,12371.133
24.756921251846837,120.99845419487315,24.8265834429307,120.94155523180498,周一早峰,8,0,1322.258,2029.0,16569.412
24.756921251846837,120.99845419487315,24.8265834429307,120.94155523180498,周一晚峰,18,0,1322.258,1916.0,16569.412
24.756921251846837,120.99845419487315,24.8265834429307,120.94155523180498,周一下午,14,0,1322.258,1859.0,16569.412
24.756921251846837,120.99845419487315,24.8265834429307,120.94155523180498,周六,10,5,1322.258,1879.0,16569.412
24.797528237809875,120.97948232341454,24.776505662894007,121.00851897369768,周一早峰,8,0,503.914,1252.0,5604.405
24.797528237809875,120.97948232341454,24.776505662894007,121.00851897369768,周一晚峰,18,0,503.914,964.0,5604.405
24.797528237809875,120.97948232341454,24.776505662894007,121.00851897369768,周一下午,14,0,503.914,845.0,5604.405
24.797528237809875,120.97948232341454,24.776505662894007,121.00851897369768,周六,10,5,503.914,890.0,5604.405
24.79231379402009,120.9490618384898,24.803929608877947,120.99569379621809,周一早峰,8,0,435.745,1088.0,5633.003
24.79231379402009,120.9490618384898,24.803929608877947,120.99569379621809,周一晚峰,18,0,435.745,1052.0,5633.003
24.79231379402009,120.9490618384898,24.803929608877947,120.99569379621809,周一下午,14,0,435.745,1135.0,5633.003
24.79231379402009,120.9490618384898,24.803929608877947,120.99569379621809,周六,10,5,435.745,1218.0,5633.003
24.77011510633897,120.95805446621708,24.84951493566609,120.98848902518755,周一早峰,8,0,998.308,2016.0,13113.211
24.77011510633897,120.95805446621708,24.84951493566609,120.98848902518755,周一晚峰,18,0,998.308,1935.0,13113.211
24.77011510633897,120.95805446621708,24.84951493566609,120.98848902518755,周一下午,14,0,998.308,1817.0,13113.211
24.77011510633897,120.95805446621708,24.84951493566609,120.98848902518755,周六,10,5,998.308,1841.0,13113.211
24.79381000839145,120.9765818256932,24.762100419586826,120.95022276033285,周一早峰,8,0,586.178,1371.0,6828.749
24.79381000839145,120.9765818256932,24.762100419586826,120.95022276033285,周一晚峰,18,0,586.178,1336.0,6828.749
24.79381000839145,120.9765818256932,24.762100419586826,120.95022276033285,周一下午,14,0,586.178,1187.0,6828.749
24.79381000839145,120.9765818256932,24.762100419586826,120.95022276033285,周六,10,5,586.178,1365.0,6828.749
24.783808556214748,120.98294778466115,24.773011473259658,120.94981956460065,周一早峰,8,0,721.962,1110.0,7277.831
